epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6000000238418579,0.5,9.999999747378752e-05,0.9949545860290527,0.6000000238418579,1.0,0.625,0.5,0.6683921813964844,0.625,1.0
1,0.6000000238418579,0.5,9.999999747378752e-05,0.8995848894119263,0.6000000238418579,1.0,0.625,0.5,0.7063027024269104,0.625,1.0
2,0.6000000238418579,0.5,9.999999747378752e-05,0.880737841129303,0.6000000238418579,1.0,0.625,0.5,0.6977980136871338,0.625,1.0
3,0.6000000238418579,0.5,9.999999747378752e-05,0.7412866353988647,0.6000000238418579,1.0,0.625,0.5,0.6783484220504761,0.625,1.0
4,0.6000000238418579,0.5,9.999999747378752e-05,0.8101184368133545,0.6000000238418579,1.0,0.625,0.5,0.6900355219841003,0.625,1.0
5,0.6000000238418579,0.5,9.999999747378752e-05,0.6839809417724609,0.6000000238418579,1.0,0.625,0.5,0.7284261584281921,0.625,1.0
6,0.6000000238418579,0.5,4.999999873689376e-05,0.6734630465507507,0.6000000238418579,1.0,0.625,0.5,0.7384467124938965,0.625,1.0
7,0.6000000238418579,0.5,4.999999873689376e-05,0.8423085808753967,0.6000000238418579,1.0,0.625,0.5,0.7469470500946045,0.625,1.0
8,0.6000000238418579,0.5,4.999999873689376e-05,0.754851758480072,0.6000000238418579,1.0,0.625,0.5,0.7842758297920227,0.625,1.0
9,0.6000000238418579,0.5,4.999999873689376e-05,0.794995129108429,0.6000000238418579,1.0,0.625,0.5,0.7980976104736328,0.625,1.0
10,0.6000000238418579,0.5,4.999999873689376e-05,0.7860664129257202,0.6000000238418579,1.0,0.625,0.5,0.8610097169876099,0.625,1.0
