epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6000000238418579,0.5666666030883789,9.999999747378752e-05,0.8615970015525818,0.7272727489471436,0.5333333611488342,0.375,0.5,0.6954429149627686,0.0,0.0
1,0.5600000023841858,0.5733333230018616,9.999999747378752e-05,0.8719992637634277,0.6428571343421936,0.6000000238418579,0.5,0.4000000059604645,0.694369912147522,1.0,0.20000000298023224
2,0.6399999856948853,0.7700000405311584,9.999999747378752e-05,0.5940769910812378,0.75,0.6000000238418579,0.625,0.46666663885116577,0.6872759461402893,0.625,1.0
3,0.5600000023841858,0.49666666984558105,9.999999747378752e-05,1.030719518661499,0.6428571343421936,0.6000000238418579,0.625,0.46666666865348816,0.6805928349494934,0.625,1.0
4,0.5600000023841858,0.6433333158493042,9.999999747378752e-05,0.7437926530838013,0.6428571343421936,0.6000000238418579,0.625,0.46666666865348816,0.6794325113296509,0.625,1.0
5,0.6000000238418579,0.7266666293144226,9.999999747378752e-05,0.7109566330909729,0.7777777910232544,0.46666666865348816,0.625,0.30000001192092896,0.6776411533355713,0.625,1.0
6,0.4399999976158142,0.44999998807907104,9.999999747378752e-05,0.8852032423019409,0.5333333611488342,0.5333333611488342,0.625,0.29999998211860657,0.6835013628005981,0.625,1.0
7,0.5600000023841858,0.7133333683013916,9.999999747378752e-05,0.6341593265533447,0.6428571343421936,0.6000000238418579,0.625,0.2666666507720947,0.6864710450172424,0.625,1.0
8,0.6000000238418579,0.6899999976158142,9.999999747378752e-05,0.6473532915115356,0.7272727489471436,0.5333333611488342,0.5,0.13333332538604736,0.7040964365005493,0.5714285969734192,0.800000011920929
9,0.5600000023841858,0.5066666603088379,9.999999747378752e-05,0.9940634369850159,0.6666666865348816,0.5333333611488342,0.5,0.13333332538604736,0.7047885656356812,0.5714285969734192,0.800000011920929
10,0.4399999976158142,0.5299999713897705,9.999999747378752e-05,1.0502339601516724,0.5555555820465088,0.3333333432674408,0.5,0.3333333432674408,0.7066859006881714,0.5714285969734192,0.800000011920929
11,0.6399999856948853,0.5733333230018616,4.999999873689376e-05,0.829670250415802,0.6875,0.7333333492279053,0.25,0.46666663885116577,0.7141226530075073,0.3333333432674408,0.20000000298023224
12,0.6399999856948853,0.6200000047683716,4.999999873689376e-05,0.8388950824737549,0.7142857313156128,0.6666666865348816,0.25,0.46666663885116577,0.7138744592666626,0.3333333432674408,0.20000000298023224
