epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5600000023841858,0.5699999928474426,9.999999747378752e-05,0.7757214307785034,0.6666666865348816,0.5333333611488342,0.625,0.30000001192092896,0.6877638101577759,0.625,1.0
1,0.3199999928474426,0.4099999666213989,9.999999747378752e-05,1.225471019744873,0.4000000059604645,0.2666666805744171,0.625,0.4333333373069763,0.6730178594589233,0.625,1.0
2,0.5600000023841858,0.5999999642372131,9.999999747378752e-05,0.7521887421607971,0.6666666865348816,0.5333333611488342,0.625,0.2666666805744171,0.6735512018203735,0.625,1.0
3,0.6000000238418579,0.5600000619888306,9.999999747378752e-05,0.8856857419013977,0.692307710647583,0.6000000238418579,0.625,0.23333333432674408,0.6891400814056396,0.625,1.0
4,0.4399999976158142,0.5633333921432495,9.999999747378752e-05,0.9126614928245544,0.5384615659713745,0.46666666865348816,0.5,0.29999998211860657,0.7066690325737,0.5714285969734192,0.800000011920929
5,0.4399999976158142,0.4533333480358124,9.999999747378752e-05,1.1966725587844849,0.5384615659713745,0.46666666865348816,0.5,0.36666667461395264,0.6944282650947571,0.6000000238418579,0.6000000238418579
6,0.5600000023841858,0.7233333587646484,9.999999747378752e-05,0.6556164622306824,0.6666666865348816,0.5333333611488342,0.375,0.4000000059604645,0.6993105411529541,0.5,0.6000000238418579
7,0.6800000071525574,0.6266666650772095,4.999999873689376e-05,0.8482605218887329,0.8181818127632141,0.6000000238418579,0.375,0.30000001192092896,0.7047222852706909,0.5,0.6000000238418579
8,0.6399999856948853,0.6633333563804626,4.999999873689376e-05,0.760733425617218,0.75,0.6000000238418579,0.625,0.3333333134651184,0.6947000622749329,0.625,1.0
9,0.5600000023841858,0.5533333420753479,4.999999873689376e-05,0.7818480134010315,0.625,0.6666666865348816,0.625,0.3333333134651184,0.6957418918609619,0.625,1.0
10,0.5199999809265137,0.5933333039283752,4.999999873689376e-05,0.8803015947341919,0.6363636255264282,0.46666666865348816,0.625,0.36666667461395264,0.6857414245605469,0.625,1.0
11,0.6000000238418579,0.6033334136009216,4.999999873689376e-05,0.8183667659759521,0.7272727489471436,0.5333333611488342,0.625,0.2666666805744171,0.6844040155410767,0.625,1.0
